=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 6.360987096774193e-05		Ring Algorithm: 0.0005602508709677418
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 7.494174193548387e-05		Ring Algorithm: 0.0005715827419354837
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 9.760548387096777e-05		Ring Algorithm: 0.0005942464838709676
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.00014293296774193554		Ring Algorithm: 0.0006395739677419354
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.00023358793548387108		Ring Algorithm: 0.0007302289354838709
=============================================================================================
Inter-Node Communication

Performance for Process Count: 2
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 7.261528471694541e-07		Ring Algorithm: 7.261528471694541e-07
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 7.275036453085386e-07		Ring Algorithm: 7.275036453085386e-07
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 7.302052415867079e-07		Ring Algorithm: 7.302052415867079e-07
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 7.356084341430463e-07		Ring Algorithm: 7.356084341430463e-07
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 7.464148192557231e-07		Ring Algorithm: 7.464148192557231e-07
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 7.680275894810768e-07		Ring Algorithm: 7.680275894810768e-07
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 8.112531299317842e-07		Ring Algorithm: 8.112531299317842e-07
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 8.977042108331988e-07		Ring Algorithm: 8.977042108331988e-07
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 1.0706063726360281e-06		Ring Algorithm: 1.0706063726360281e-06
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 1.4164106962416868e-06		Ring Algorithm: 1.4164106962416868e-06
For message size: 2^10 	Recursive Doubling and Brucks Algorithm: 2.108019343453004e-06		Ring Algorithm: 2.108019343453004e-06
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 9.109889784946234e-06		Ring Algorithm: 9.109889784946234e-06
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 9.50677956989247e-06		Ring Algorithm: 9.50677956989247e-06
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 1.0300559139784945e-05		Ring Algorithm: 1.0300559139784945e-05
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 1.188811827956989e-05		Ring Algorithm: 1.188811827956989e-05
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 1.5063236559139783e-05		Ring Algorithm: 1.5063236559139783e-05
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 2.1413473118279566e-05		Ring Algorithm: 2.1413473118279566e-05
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 3.4113946236559136e-05		Ring Algorithm: 3.4113946236559136e-05
For message size: 2^7 	Recursive Doubling and Brucks Algorithm: 5.9514892473118276e-05		Ring Algorithm: 5.9514892473118276e-05
For message size: 2^8 	Recursive Doubling and Brucks Algorithm: 0.00011031678494623656		Ring Algorithm: 0.00011031678494623656
For message size: 2^9 	Recursive Doubling and Brucks Algorithm: 0.00021192056989247313		Ring Algorithm: 0.00021192056989247313

Performance for Process Count: 4
For message size: 2^0 	Recursive Doubling and Brucks Algorithm: 1.4536564924779926e-06		Ring Algorithm: 2.1784585415083623e-06
For message size: 2^1 	Recursive Doubling and Brucks Algorithm: 1.4577088868952466e-06		Ring Algorithm: 2.182510935925616e-06
For message size: 2^2 	Recursive Doubling and Brucks Algorithm: 1.4658136757297542e-06		Ring Algorithm: 2.1906157247601237e-06
For message size: 2^3 	Recursive Doubling and Brucks Algorithm: 1.4820232533987695e-06		Ring Algorithm: 2.206825302429139e-06
For message size: 2^4 	Recursive Doubling and Brucks Algorithm: 1.5144424087368e-06		Ring Algorithm: 2.2392444577671695e-06
For message size: 2^5 	Recursive Doubling and Brucks Algorithm: 1.579280719412861e-06		Ring Algorithm: 2.3040827684432306e-06
For message size: 2^6 	Recursive Doubling and Brucks Algorithm: 1.7089573407649829e-06		Ring Algorithm: 2.4337593897953524e-06
