=============================================================================================
Intra-Node Communication

Performance for Process Count: 2
For message size: 2^20 	Recursive Doubling: 0.0007716034838709683		Binomial Tree Algorithm: 0.0015432069677419366		Rabenseifner's Algorithm: 0.00041505625806451634

Performance for Process Count: 32
For message size: 2^0 	Recursive Doubling: 3.6365387685047197e-06		Binomial Tree Algorithm: 7.273077537009439e-06		Rabenseifner's Algorithm: 7.252875293102933e-06
For message size: 2^1 	Recursive Doubling: 3.649067291857592e-06		Binomial Tree Algorithm: 7.298134583715184e-06		Rabenseifner's Algorithm: 7.257730095902171e-06
For message size: 2^2 	Recursive Doubling: 3.6741243385633363e-06		Binomial Tree Algorithm: 7.3482486771266734e-06		Rabenseifner's Algorithm: 7.2674397015006464e-06
For message size: 2^3 	Recursive Doubling: 3.724238431974826e-06		Binomial Tree Algorithm: 7.448476863949652e-06		Rabenseifner's Algorithm: 7.286858912697599e-06
For message size: 2^4 	Recursive Doubling: 3.8244666187978045e-06		Binomial Tree Algorithm: 7.648933237595609e-06		Rabenseifner's Algorithm: 7.3256973350915035e-06
For message size: 2^5 	Recursive Doubling: 4.024922992443762e-06		Binomial Tree Algorithm: 8.049845984887524e-06		Rabenseifner's Algorithm: 7.4033741798793114e-06
For message size: 2^6 	Recursive Doubling: 4.425835739735677e-06		Binomial Tree Algorithm: 8.851671479471354e-06		Rabenseifner's Algorithm: 7.558727869454929e-06
For message size: 2^7 	Recursive Doubling: 5.2276612343195065e-06		Binomial Tree Algorithm: 1.0455322468639013e-05		Rabenseifner's Algorithm: 7.869435248606163e-06
For message size: 2^8 	Recursive Doubling: 6.831312223487165e-06		Binomial Tree Algorithm: 1.3662624446974332e-05		Rabenseifner's Algorithm: 8.490850006908631e-06
For message size: 2^9 	Recursive Doubling: 1.0038614201822485e-05		Binomial Tree Algorithm: 2.0077228403644967e-05		Rabenseifner's Algorithm: 9.733679523513565e-06
For message size: 2^10 	Recursive Doubling: 1.6453218158493122e-05		Binomial Tree Algorithm: 3.2906436316986243e-05		Rabenseifner's Algorithm: 1.2219338556723437e-05
For message size: 2^11 	Recursive Doubling: 4.536370967741935e-05		Binomial Tree Algorithm: 9.072741935483868e-05		Rabenseifner's Algorithm: 8.782699999999997e-05
For message size: 2^12 	Recursive Doubling: 4.71624193548387e-05		Binomial Tree Algorithm: 9.432483870967739e-05		Rabenseifner's Algorithm: 8.852399999999998e-05
For message size: 2^13 	Recursive Doubling: 5.075983870967741e-05		Binomial Tree Algorithm: 0.00010151967741935482		Rabenseifner's Algorithm: 8.991799999999997e-05
For message size: 2^14 	Recursive Doubling: 5.795467741935484e-05		Binomial Tree Algorithm: 0.00011590935483870968		Rabenseifner's Algorithm: 9.270599999999998e-05
For message size: 2^15 	Recursive Doubling: 7.234435483870968e-05		Binomial Tree Algorithm: 0.00014468870967741936		Rabenseifner's Algorithm: 9.828199999999998e-05
For message size: 2^16 	Recursive Doubling: 0.00010112370967741938		Binomial Tree Algorithm: 0.00020224741935483877		Rabenseifner's Algorithm: 0.000109434
For message size: 2^17 	Recursive Doubling: 0.00015868241935483877		Binomial Tree Algorithm: 0.00031736483870967755		Rabenseifner's Algorithm: 0.000131738
For message size: 2^18 	Recursive Doubling: 0.0002737998387096776		Binomial Tree Algorithm: 0.0005475996774193552		Rabenseifner's Algorithm: 0.00017634600000000002
For message size: 2^19 	Recursive Doubling: 0.0005040346774193552		Binomial Tree Algorithm: 0.0010080693548387104		Rabenseifner's Algorithm: 0.0002655620000000001
For message size: 2^20 	Recursive Doubling: 0.0009645043548387104		Binomial Tree Algorithm: 0.0019290087096774206		Rabenseifner's Algorithm: 0.00044399400000000024

Performance for Process Count: 64
For message size: 2^0 	Recursive Doubling: 4.363846522205664e-06		Binomial Tree Algorithm: 8.727693044411327e-06		Rabenseifner's Algorithm: 8.702557694434627e-06
For message size: 2^1 	Recursive Doubling: 4.37888075022911e-06		Binomial Tree Algorithm: 8.75776150045822e-06		Rabenseifner's Algorithm: 8.707490800504821e-06
For message size: 2^2 	Recursive Doubling: 4.408949206276004e-06		Binomial Tree Algorithm: 8.817898412552008e-06		Rabenseifner's Algorithm: 8.717357012645207e-06
For message size: 2^3 	Recursive Doubling: 4.469086118369792e-06		Binomial Tree Algorithm: 8.938172236739582e-06		Rabenseifner's Algorithm: 8.73708943692598e-06
For message size: 2^4 	Recursive Doubling: 4.589359942557366e-06		Binomial Tree Algorithm: 9.178719885114731e-06		Rabenseifner's Algorithm: 8.77655428548753e-06
